Accident_Index,Vehicle_Reference,Vehicle_Type,Towing_and_Articulation,Vehicle_Manoeuvre,Vehicle_Location-Restricted_Lane,Junction_Location,Skidding_and_Overturning,Hit_Object_in_Carriageway,Vehicle_Leaving_Carriageway,Hit_Object_off_Carriageway,1st_Point_of_Impact,Was_Vehicle_Left_Hand_Drive?,Journey_Purpose_of_Driver,Sex_of_Driver,Age_of_Driver,Age_Band_of_Driver,Engine_Capacity_(CC),Propulsion_Code,Age_of_Vehicle,Driver_IMD_Decile,Driver_Home_Area_Type,Vehicle_IMD_Decile
2.02E+12,1,9,0,18,0,1,0,0,0,0,3,1,1,1,26,6,1598,2,1,3,1,3
2.02E+12,2,9,0,9,0,6,0,0,0,0,1,1,6,2,24,5,1493,2,12,3,1,3
2.02E+12,1,8,0,9,0,1,0,0,0,0,1,1,1,1,47,8,2143,2,5,10,1,10
2.02E+12,1,11,0,5,0,1,0,0,0,0,0,1,1,1,70,10,4250,2,6,7,3,7
2.02E+12,1,21,0,18,0,2,0,0,0,0,1,1,1,1,59,9,5132,2,3,6,1,6
2.02E+12,2,9,0,18,0,1,0,11,0,0,1,1,1,1,35,6,1968,2,2,9,1,9
2.02E+12,1,9,0,18,0,8,0,0,0,0,1,1,6,1,54,8,1596,1,11,2,1,2
2.02E+12,1,9,0,3,0,2,0,0,0,0,2,1,2,1,57,9,1339,1,2,6,1,6
2.02E+12,1,2,0,18,0,1,0,0,0,0,4,1,6,1,24,5,125,1,9,4,1,4
2.02E+12,2,8,0,6,0,1,0,0,0,0,4,2,1,1,54,8,1598,1,5,4,1,4
2.02E+12,1,9,0,18,0,2,0,0,0,0,1,1,6,2,45,7,1386,1,10,4,1,4
2.02E+12,1,9,0,5,0,6,0,11,0,0,1,1,6,2,77,11,1796,1,23,3,1,3
2.02E+12,1,9,0,7,0,8,0,0,0,0,1,2,1,2,64,9,1199,1,15,3,1,3
2.02E+12,2,9,0,18,0,6,0,10,0,0,1,1,6,1,74,10,1596,1,9,7,1,7
2.02E+12,1,9,0,7,9,5,0,0,1,0,1,1,6,1,49,8,1598,1,18,8,1,8
2.02E+12,1,9,0,10,0,1,0,0,0,0,3,1,6,1,46,8,1798,1,1,4,1,4
2.02E+12,2,3,0,3,0,1,0,0,0,0,4,1,6,1,25,5,125,1,1,9,1,9
2.02E+12,1,9,0,18,0,1,0,0,0,0,1,1,6,1,52,8,1242,1,11,2,1,2
2.02E+12,2,9,0,18,0,1,0,0,0,0,4,1,6,1,29,6,1896,2,10,3,1,3
2.02E+12,1,9,0,10,0,1,0,0,0,0,2,1,6,1,50,8,1240,1,14,2,1,2
2.02E+12,2,11,0,18,0,1,0,0,0,0,1,1,6,1,45,7,3900,2,12,4,1,4
2.02E+12,1,9,0,7,0,5,0,0,0,0,1,1,6,1,37,7,1120,2,5,2,1,2
2.02E+12,1,9,0,4,0,2,0,0,0,0,2,1,6,2,27,6,1598,1,12,3,1,3
2.02E+12,2,9,0,4,0,2,0,0,0,0,1,1,6,1,22,5,1400,1,11,8,1,8
2.02E+12,1,9,0,18,0,1,0,0,0,0,2,1,6,2,33,6,1956,2,5,9,1,9
2.02E+12,2,9,0,18,0,1,0,0,0,0,1,1,6,1,20,4,1364,1,7,4,1,4
2.02E+12,1,9,0,9,0,6,0,0,0,0,3,1,6,2,73,10,1596,1,8,7,1,7
2.02E+12,2,4,0,18,0,8,0,0,0,0,1,1,1,2,22,5,398,1,9,10,1,10
2.02E+12,1,3,0,18,0,1,1,0,0,0,1,1,2,1,53,8,125,1,7,3,1,3
2.02E+12,2,19,0,9,0,5,0,0,0,0,1,1,2,1,28,6,1560,2,3,1,1,1
2.02E+12,2,9,0,18,0,8,2,0,1,4,3,2,6,2,23,5,998,1,14,10,1,10
2.02E+12,1,9,0,3,0,2,0,0,0,0,2,1,6,1,44,7,1998,1,14,7,1,7
2.02E+12,2,19,0,3,0,1,0,0,0,0,2,1,2,1,29,6,1598,2,2,9,1,9
2.02E+12,3,9,0,18,0,1,0,0,0,0,1,1,2,1,20,4,1995,2,5,9,2,9
2.02E+12,1,5,0,5,0,8,0,0,0,0,1,1,2,1,46,8,600,1,3,3,1,3
2.02E+12,1,4,0,15,0,6,0,0,1,0,0,1,6,1,33,6,124,1,1,2,1,2
2.02E+12,1,4,0,14,0,1,0,0,0,0,1,1,1,1,26,6,498,1,10,9,1,9
2.02E+12,2,9,0,9,0,6,0,0,0,0,3,1,6,1,44,7,1999,1,12,7,1,7
2.02E+12,1,11,0,5,0,2,0,0,0,0,0,1,6,1,25,5,4500,2,2,3,1,3
2.02E+12,1,9,0,9,0,1,0,0,0,0,3,1,6,1,35,6,1086,1,9,5,1,5
2.02E+12,1,9,0,10,0,1,0,0,0,0,3,1,2,1,48,8,3628,2,7,6,1,6
2.02E+12,2,3,0,18,0,8,0,0,0,0,1,1,6,1,35,6,125,1,1,3,1,3
2.02E+12,1,3,0,18,0,8,0,0,0,0,2,1,6,1,21,5,124,1,9,6,1,6
2.02E+12,1,9,0,9,0,5,0,0,1,0,3,2,6,1,74,10,1399,1,1,3,1,3
2.02E+12,1,9,0,18,0,2,0,0,1,0,4,1,6,2,29,6,1686,2,14,2,1,2
2.02E+12,1,4,0,13,0,8,0,0,1,0,1,1,2,1,27,6,124,1,2,7,1,7
2.02E+12,2,9,0,9,0,8,0,0,0,0,4,1,2,1,63,9,1339,1,5,5,1,5
2.02E+12,1,9,0,18,0,2,0,0,0,0,3,1,6,1,26,6,2993,12,2,3,1,3
2.02E+12,2,9,0,5,0,6,0,0,0,0,1,1,6,1,29,6,1242,1,9,3,1,3
2.02E+12,1,3,0,18,0,1,0,0,0,0,1,1,2,1,48,8,125,1,1,3,1,3
2.02E+12,1,19,0,9,0,6,0,0,0,0,1,1,6,1,25,5,1995,2,10,10,1,10
2.02E+12,2,3,0,18,0,1,0,0,0,0,4,1,6,1,38,7,124,1,3,7,1,7
2.02E+12,1,9,0,9,0,1,0,0,0,0,1,1,6,1,70,10,1400,1,17,6,1,6
2.02E+12,2,4,0,18,0,1,0,0,0,0,4,1,2,1,55,8,124,1,6,5,1,5
2.02E+12,1,9,0,4,0,1,0,0,0,0,2,1,6,2,42,7,1896,2,14,2,1,2
