Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Day_of_Week,Local_Authority_(District),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident
2.02E+12,493112,182755,-0.658903,51.536032,43,3,2,1,6,477,6,7,6,30,3,4,6,9,0,0,1,1,1,0,0,1,2
2.02E+12,432755,228285,-1.524789,51.952107,43,3,2,2,1,485,3,361,1,60,1,4,3,3400,0,0,1,2,2,0,0,2,1
2.02E+12,487980,166971,-0.736799,51.394966,43,3,2,1,2,470,6,7002,6,30,3,4,6,7002,0,0,1,1,1,0,0,1,2
2.02E+12,471735,173937,-0.968838,51.459874,43,3,2,1,2,472,3,329,1,30,1,4,4,3345,0,0,1,1,1,0,0,1,1
2.02E+12,483628,170834,-0.798428,51.43035,43,3,2,1,6,470,4,3034,6,40,3,4,6,7510,0,0,1,1,1,0,0,2,1
2.02E+12,479541,175597,-0.856133,51.473756,43,3,2,1,7,475,6,7512,1,30,1,4,4,3018,0,0,1,1,1,0,0,2,1
2.02E+12,486306,180772,-0.75749,51.519287,43,3,2,3,2,474,6,7408,6,40,3,4,3,4,0,0,1,1,2,0,0,1,1
2.02E+12,472249,169240,-0.962398,51.417582,43,3,1,1,4,472,6,7201,6,30,3,4,6,7201,0,0,4,1,2,0,0,1,1
2.02E+12,464646,171278,-1.071346,51.436822,43,3,2,1,4,471,3,4,1,60,1,4,6,7153,0,0,4,2,2,0,0,2,1
2.02E+12,470802,173377,-0.982377,51.454957,43,2,2,1,5,472,6,7201,6,30,3,4,6,7201,0,0,1,1,1,0,0,1,2
2.02E+12,472260,197765,-0.95639,51.674021,43,3,2,3,6,484,4,4009,6,40,3,4,1,40,0,0,1,1,1,0,0,2,1
2.02E+12,488731,181938,-0.722255,51.529393,43,3,1,1,3,474,4,4470,1,30,1,4,6,7408,0,0,1,1,2,0,0,1,2
2.02E+12,497007,181143,-0.603207,51.520887,43,3,1,2,2,473,6,7302,6,20,3,4,6,7302,0,0,6,1,1,0,0,1,1
2.02E+12,496534,177833,-0.610928,51.491215,43,3,2,1,1,474,4,3026,6,30,3,4,4,3026,0,0,1,1,1,0,0,1,1
2.02E+12,473436,173095,-0.944535,51.452087,43,2,2,1,1,472,3,329,6,30,3,4,6,7201,0,0,4,1,2,0,0,1,1
